mesa_hasta,votacion,mesa_desde,dne_distri,vot_parcodigo,total,id,dne_seccio,the_geom,cartodb_id,created_at,updated_at
10,D,1,1,8,10,1,1,,1,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
10,D,1,1,68,48,2,1,,2,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
10,D,1,1,187,91,3,1,,3,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
10,D,1,1,234,29,4,1,,4,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
10,D,1,1,262,26,5,1,,5,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
10,D,1,1,324,7,6,1,,6,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
10,D,1,1,325,16,7,1,,7,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
10,D,1,1,501,608,8,1,,8,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
10,D,1,1,502,739,9,1,,9,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
10,D,1,1,503,603,10,1,,10,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
10,D,1,1,504,48,11,1,,11,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
10,D,1,1,505,147,12,1,,12,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
10,D,1,1,506,70,13,1,,13,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
31,D,18,1,8,12,14,1,,14,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
31,D,18,1,68,40,15,1,,15,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
31,D,18,1,187,124,16,1,,16,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
31,D,18,1,234,63,17,1,,17,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
31,D,18,1,262,55,18,1,,18,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
31,D,18,1,324,16,19,1,,19,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
31,D,18,1,325,24,20,1,,20,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
31,D,18,1,501,864,21,1,,21,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
31,D,18,1,502,1056,22,1,,22,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
31,D,18,1,503,822,23,1,,23,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
31,D,18,1,504,73,24,1,,24,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
31,D,18,1,505,177,25,1,,25,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
31,D,18,1,506,94,26,1,,26,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
17,D,11,1,8,4,27,1,,27,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
17,D,11,1,68,83,28,1,,28,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
17,D,11,1,187,49,29,1,,29,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
17,D,11,1,234,13,30,1,,30,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
17,D,11,1,262,15,31,1,,31,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
17,D,11,1,324,10,32,1,,32,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
17,D,11,1,325,12,33,1,,33,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
17,D,11,1,501,367,34,1,,34,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
17,D,11,1,502,438,35,1,,35,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
17,D,11,1,503,352,36,1,,36,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
17,D,11,1,504,41,37,1,,37,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
17,D,11,1,505,89,38,1,,38,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
17,D,11,1,506,42,39,1,,39,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
45,D,32,1,8,13,40,1,,40,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
45,D,32,1,68,68,41,1,,41,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
45,D,32,1,187,147,42,1,,42,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
45,D,32,1,234,33,43,1,,43,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
45,D,32,1,262,38,44,1,,44,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
45,D,32,1,324,22,45,1,,45,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
45,D,32,1,325,23,46,1,,46,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
45,D,32,1,501,919,47,1,,47,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
45,D,32,1,502,869,48,1,,48,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
45,D,32,1,503,708,49,1,,49,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
45,D,32,1,504,83,50,1,,50,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
45,D,32,1,505,183,51,1,,51,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
45,D,32,1,506,81,52,1,,52,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
52,D,46,1,8,1,53,1,,53,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
52,D,46,1,68,26,54,1,,54,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
52,D,46,1,187,68,55,1,,55,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
52,D,46,1,234,24,56,1,,56,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
52,D,46,1,262,32,57,1,,57,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
52,D,46,1,324,7,58,1,,58,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
52,D,46,1,325,19,59,1,,59,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
52,D,46,1,501,425,60,1,,60,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
52,D,46,1,502,520,61,1,,61,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
52,D,46,1,503,369,62,1,,62,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
52,D,46,1,504,21,63,1,,63,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
52,D,46,1,505,103,64,1,,64,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
52,D,46,1,506,51,65,1,,65,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
62,D,53,1,8,8,66,1,,66,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
62,D,53,1,68,48,67,1,,67,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
62,D,53,1,187,104,68,1,,68,2013-08-12 19:03:07.436782,2013-08-12 19:03:14.703637
